path	line	end	name	body_sha256
include/SOURCE/COMMAND.h	2	2	HOMM2_COMMAND_H	fe8e1c82998153844804dd6d63ef9c163272cca34d8d930e84002c6739cb3d37
include/SOURCE/CONFIG_TYPES.h	2	2	HOMM2_SOURCE_CONFIG_TYPES_H	a95c8136dd77e79f93b44639a22f60bd2541c9ee1c266d10a70e58c33e7731f0
include/SOURCE/CURSOR.h	2	2	HOMM2_CURSOR_H	b1e44a3464bcb4256e273752c4574360b4539f5d3b6e52f34ad340d440352462
include/SOURCE/Campaign.h	2	2	HOMM2_CAMPAIGN_H	52ba851438f5a9e7aa2a4934255b6f9f51a04a40bcea3ef90b8a1b494e59b6a1
include/SOURCE/Castle.h	2	2	HOMM2_CASTLE_H	7fa63445d5328b47e61e40dbf38fc4ec91623e74accc04586e72da4d6d0f720e
include/SOURCE/EVENTS.h	2	2	HOMM2_EVENTS_H	ffde25456c08c09d5fd2410c8b079c11d86ed4009109b81c94a2291ac40278bc
include/SOURCE/EVENTS.h	302	302	MONSTER_STRENGTH_JOIN	561b7f912cba364af27df831a6893d9c629537d2ec334799707c451372029a99
include/SOURCE/EVENTS.h	303	303	MONSTER_STRENGTH_FLEE	7ea5c116318816a02f3af9a09e9afa9274398d26c68fb77a77c6437430307fdd
include/SOURCE/EVENTS_TYPES.h	2	2	HOMM2_EVENTS_TYPES_H	9726cc4de5a78342047c49e907896fa73b50e63a3b93e12caca93207afd42ce4
include/SOURCE/ExpCampaign.h	2	2	HOMM2_SOURCE_EXPCAMPAIGN_H	a1f3f8ad0841d0be7d3a4b2674eccfc7c9bd719c0c0807900d3f4f0d481b3ee0
include/SOURCE/FINDPATH.h	2	2	HOMM2_FINDPATH_H	557e7f75dfb1ed84ab925e57b0c003a691226fa7ca8e5bae931272b7a46d24a3
include/SOURCE/GAME.h	2	2	HOMM2_GAME_H	8cad0c745b398ebeb721ab600bb19f098a3d67abf460976b1c26ecdac6a86ed7
include/SOURCE/HERO.h	2	2	HOMM2_HERO_H	1f687c01121dfc04c3f1d202dc0ac9bd4b2313a0ee4d349fa5e5c6b5f734d63f
include/SOURCE/KB.h	2	2	HOMM2_KB_H	58fff8650227c7c87b4d60574fc7c62c45150661d939da43627519e14d64892c
include/SOURCE/KB.h	713	713	MAP_EXTRA_AT	bb1ab0fc959c0b465d21978551d9dfca34e37c4d1d0985fb561a10e50a866c6e
include/SOURCE/KB.h	714	714	MAP_EXTRA_AT_WFIRST	b8ad08c45bd1f2af8e51cf2aba1332a7a3e86fa8b3675025c4105e50f9288df7
include/SOURCE/KB_TYPES.h	2	2	HOMM2_SOURCE_KB_TYPES_H	9b6eb8e0fb4fc43753351fadf10d910780f85e2b156831e0fa36426a30e90d3d
include/SOURCE/KB_TYPES.h	177	177	NextCreatureType	56fead58afb5a1a51085fc46a463c57bc118f276a50f79ec6f363eb9a53c38ac
include/SOURCE/KB_TYPES.h	630	630	MAP_ACTION_TRIGGER	a3b87eb5c127e867c6fa17d2f2d1d054698ea350456d5deea8504d539a07d053
