domain	owner	storage	start	size	kind	identity	provenance
text	BASE/Misc	text	0xc65e0	0xb8	function	?FadeToColorTable@@YIXPAEH@Z	retained-or-recovered-procedure
text	-	text	0xc6698	0x8	padding	-	retail-padding-bytes
text	BASE/Misc	text	0xc66a0	0x29	function	?IsCycleColor@@YIHH@Z	retained-or-recovered-procedure
text	-	text	0xc66c9	0x7	padding	-	retail-padding-bytes
text	BASE/Misc	text	0xc66d0	0x1ee	function	?CreatePCXFile@@YIXPADPAEHH1@Z	retained-or-recovered-procedure
text	-	text	0xc68be	0x2	padding	-	retail-padding-bytes
text	BASE/Misc	text	0xc68c0	0x52	function	?FileSize@@YIJPAD@Z	retained-or-recovered-procedure
text	-	text	0xc6912	0xe	padding	-	retail-padding-bytes
text	BASE/Misc	text	0xc6920	0xc	function	?GetIconEntry@@YIPAUIconEntry@@PAVicon@@H@Z	retained-or-recovered-procedure
text	-	text	0xc692c	0x4	padding	-	retail-padding-bytes
text	BASE/Misc	text	0xc6930	0xb8	function	?SRandom@@YIHHH@Z	retained-or-recovered-procedure
text	-	text	0xc69e8	0x8	padding	-	retail-padding-bytes
text	BASE/Misc	text	0xc69f0	0x5c	function	?SIncRandomize@@YIXHH@Z	retained-or-recovered-procedure
text	-	text	0xc6a4c	0x4	padding	-	retail-padding-bytes
text	BASE/Misc	text	0xc6a50	0x10	function	?SRand@@YIXH@Z	retained-or-recovered-procedure
