# Reviewed absolute-relocation sites for the stripped Gold 2.1 target.
# HMM2PL.exe carries no base-relocation directory (data directory 5 is 0/0), so
# the delinker cannot read DIR32 sites from the image. Every row here names the
# RVA of a 4-byte field that holds a linked target address; the delinker reads
# and classifies the target itself. Empty until sites are reviewed in.
site_rva	kind
0x59aa8	dir32
0x59aac	dir32
0x59ab0	dir32
0x59ab4	dir32
0x5a904	dir32
0x5a908	dir32
0x5a90c	dir32
0x5a910	dir32
0x5a914	dir32
0x5a918	dir32
0x5a91c	dir32
0x5a920	dir32
0x5a924	dir32
0x5a928	dir32
0x5a92c	dir32
0x5bd68	dir32
0x5bd9a	dir32
0x5bdb4	dir32
0x5bdc0	dir32
0x5bdc7	dir32
0x5bdd0	dir32
0x5bdd6	dir32
0x5be05	dir32
0x5be12	dir32
0x5be1e	dir32
0x5be2d	dir32
0x5be3c	dir32
0x5be4d	dir32
0x5be5c	dir32
0x5be67	dir32
0x5be71	dir32
0x5be7a	dir32
0x5be94	dir32
0x5bea3	dir32
0x5beb2	dir32
0x5beb8	dir32
0x5bee1	dir32
0x5bf03	dir32
0x5bf12	dir32
0x5eea0	dir32
0x5f15d	dir32
0x5f185	dir32
0x60804	dir32
0x60835	dir32
0x6085e	dir32
0x6089a	dir32
0x608b5	dir32
0x608cf	dir32
0x608e8	dir32
0x60e0f	dir32
0x60e1c	dir32
0x60e25	dir32
0x60e34	dir32
0x60e9b	dir32
0x60ea5	dir32
0x612ac	dir32
0x612c7	dir32
0x6133c	dir32
0x613ce	dir32
0x613da	dir32
0x613e1	dir32
0x613f1	dir32
0x61425	dir32
0x6144f	dir32
0x61466	dir32
0x6147f	dir32
0x6170d	dir32
0x6172f	dir32
0x6173a	dir32
0x61740	dir32
0x6176a	dir32
0x61798	dir32
0x617c4	dir32
0x617ce	dir32
0x61cec	dir32
0x61cfc	dir32
0x61d03	dir32
0x61d11	dir32
0x61d20	dir32
0x61d37	dir32
0x638b8	dir32
0x638c1	dir32
0x638c7	dir32
0x638d2	dir32
0x638eb	dir32
0x638fc	dir32
0x6391b	dir32
0x63924	dir32
0x6392c	dir32
0x6393f	dir32
0x6394c	dir32
0x63952	dir32
0x63968	dir32
0x6398c	dir32
0x639b9	dir32
0x639bf	dir32
0x639d2	dir32
0x639dd	dir32
0x639e3	dir32
0x639e9	dir32
0x639f3	dir32
0x63a01	dir32
0x63a0b	dir32
0x63a15	dir32
0x63a3b	dir32
0x63a55	dir32
0x63a6f	dir32
0x63a7b	dir32
0x63a80	dir32
0x63a87	dir32
0x63a98	dir32
0x63aa3	dir32
0x63ab8	dir32
0x63ac1	dir32
0x63ad7	dir32
0x63ae2	dir32
0x63aeb	dir32
0x63af5	dir32
0x649c1	dir32
0x64c88	dir32
0x64c95	dir32
0x64c9e	dir32
0x64cad	dir32
0x64d4d	dir32
0x64df1	dir32
0x650b9	dir32
0x650d3	dir32
0x650e0	dir32
0x650e9	dir32
0x650f8	dir32
0x65126	dir32
0x652e7	dir32
0x652f9	dir32
0x65bb1	dir32
0x65bbe	dir32
0x65bc7	dir32
0x65bd6	dir32
0x65d11	dir32
0x662b8	dir32
0x662c0	dir32
0x662ed	dir32
0x662f7	dir32
0x66300	dir32
0x66315	dir32
0x6631f	dir32
0x66327	dir32
0x6633c	dir32
0x66346	dir32
0x6634f	dir32
0x66393	dir32
0x6639d	dir32
0x663a6	dir32
0x663bb	dir32
0x663c5	dir32
0x663cd	dir32
0x663e2	dir32
0x663ec	dir32
0x663f5	dir32
0x6640a	dir32
0x66414	dir32
0x6641d	dir32
0x66461	dir32
0x6646b	dir32
0x66473	dir32
0x66488	dir32
0x66492	dir32
0x6649b	dir32
0x664df	dir32
0x664e9	dir32
0x664f2	dir32
0x66507	dir32
0x66511	dir32
0x66519	dir32
0x6652e	dir32
0x66538	dir32
0x66541	dir32
0x66556	dir32
0x66560	dir32
0x66569	dir32
0x6657e	dir32
0x66588	dir32
0x66590	dir32
0x665a5	dir32
0x665c9	dir32
0x665d0	dir32
0x6670e	dir32
0x6673e	dir32
0x6674d	dir32
0x66757	dir32
0x68a31	dir32
0x68a5f	dir32
0x68a66	dir32
0x68a7e	dir32
0x68aa8	dir32
0x68ad0	dir32
0x68af9	dir32
0x68b00	dir32
0x68b18	dir32
0x68b1d	dir32
0x68b2a	dir32
0x68b50	dir32
0x68b55	dir32
0x68b6b	dir32
0x68b78	dir32
0x68b9b	dir32
0x68bad	dir32
0x68bbf	dir32
0x68bd1	dir32
0x68be3	dir32
0x68c06	dir32
0x68c3e	dir32
0x68c7c	dir32
0x68c9f	dir32
0x68cc4	dir32
0x68ce8	dir32
0x68cfd	dir32
0x68d41	dir32
0x68d67	dir32
0x68d6e	dir32
0x68dc8	dir32
0x68dcc	dir32
0x68dd0	dir32
0x68dd4	dir32
0x68dd8	dir32
0x68ddc	dir32
0x68de0	dir32
0x68de4	dir32
0x68e27	dir32
0x68e62	dir32
0x68fa9	dir32
0x69146	dir32
0x69158	dir32
0x69164	dir32
0x69176	dir32
0x692f7	dir32
0x692fb	dir32
0x692ff	dir32
0x69303	dir32
0x69307	dir32
0x6930b	dir32
0x6930f	dir32
0x69313	dir32
0x69317	dir32
0x6931b	dir32
0x6931f	dir32
0x69323	dir32
0x69327	dir32
0x6932b	dir32
0x6973f	dir32
0x6974f	dir32
0x6975e	dir32
0x6976e	dir32
0x6977c	dir32
0x697a3	dir32
0x697be	dir32
0x697fb	dir32
0x69831	dir32
0x6984d	dir32
0x6985d	dir32
0x6986a	dir32
0x6ba06	dir32
0x6ba10	dir32
0x6ba1f	dir32
0x6ba39	dir32
0x6ba42	dir32
0x6ba57	dir32
0x6ba61	dir32
0x6ba6a	dir32
0x6ba7f	dir32
0x6ba89	dir32
0x6bf21	dir32
0x6bf34	dir32
0x6bf3c	dir32
0x6bf45	dir32
0x6bf4e	dir32
0x6bf62	dir32
0x6bf79	dir32
0x6bfb6	dir32
0x6c027	dir32
0x6c03a	dir32
0x6c046	dir32
0x6c057	dir32
0x6c065	dir32
0x6c06f	dir32
0x6c093	dir32
0x6cbed	dir32
0x6cbf2	dir32
0x6cbff	dir32
0x6cc04	dir32
0x6cc11	dir32
0x6cc16	dir32
0x6cc27	dir32
0x6cc34	dir32
0x6cc39	dir32
0x6cc3f	dir32
0x6cc45	dir32
0x6cc4b	dir32
0x6cc51	dir32
0x6cc59	dir32
0x6d543	dir32
0x6d565	dir32
0x6d5fe	dir32
0x6d609	dir32
0x6d612	dir32
0x6d621	dir32
0x6d626	dir32
0x6d62c	dir32
0x6d639	dir32
